Variable xr: a, t, e 
127,8,3,8 
127,9,3,8 
127,10,3,8 
130,1,4,8 
130,2,4,8 
130,3,4,8 
130,4,4,8 
130,5,4,8 
130,6,4,8 
130,7,4,8 
130,8,4,8 
130,9,4,8 
130,10,4,8 
123,1,5,8 
123,2,5,8 
123,3,5,8 
123,4,5,8 
123,5,5,8 
123,6,5,8 
123,7,5,8 
123,8,5,8 
123,9,5,8 
123,10,5,8 
129,1,6,8 
129,2,6,8 
129,3,6,8 
129,4,6,8 
129,5,6,8 
129,6,6,8 
129,7,6,8 
129,8,6,8 
129,9,6,8 
129,10,6,8 
119,1,7,8 
119,2,7,8 
119,3,7,8 
119,4,7,8 
119,5,7,8 
119,6,7,8 
119,7,7,8 
119,8,7,8 
119,9,7,8 
119,10,7,8 
127,1,8,8 
127,2,8,8 
127,3,8,8 
127,4,8,8 
127,5,8,8 
127,6,8,8 
127,7,8,8 
127,8,8,8 
127,9,8,8 
127,10,8,8 
130,1,9,8 
130,2,9,8 
130,3,9,8 
130,4,9,8 
130,5,9,8 
130,6,9,8 
130,7,9,8 
130,8,9,8 
130,9,9,8 
130,10,9,8 
128,1,10,8 
128,2,10,8 
128,3,10,8 
128,4,10,8 
128,5,10,8 
128,6,10,8 
128,7,10,8 
128,8,10,8 
128,9,10,8 
128,10,10,8 
130,1,11,8 
130,2,11,8 
130,3,11,8 
130,4,11,8 
130,5,11,8 
130,6,11,8 
130,7,11,8 
130,8,11,8 
130,9,11,8 
130,10,11,8 
128,1,12,8 
128,2,12,8 
128,3,12,8 
128,4,12,8 
128,5,12,8 
128,6,12,8 
128,7,12,8 
128,8,12,8 
128,9,12,8 
128,10,12,8 
127,1,13,8 
127,2,13,8 
127,3,13,8 
127,4,13,8 
127,5,13,8 
127,6,13,8 
127,7,13,8 
127,8,13,8 
127,9,13,8 
127,10,13,8 
126,1,14,8 
126,2,14,8 
126,3,14,8 
126,4,14,8 
126,5,14,8 
126,6,14,8 
126,7,14,8 
126,8,14,8 
126,9,14,8 
126,10,14,8 
128,1,15,8 
128,2,15,8 
128,3,15,8 
128,4,15,8 
128,5,15,8 
128,6,15,8 
128,7,15,8 
128,8,15,8 
128,9,15,8 
